"","y","x","Ob","Sho_126","Mid_126","Long_126","Sho_245","Mid_245","Long_245","Sho_585","Mid_585","Long_585"
"408",-43.875,-175.875,86.7791785499572,173.2478114885,201.8336822535,295.7689814,150.1751385045,317.170550545,636.847688555,162.6712866045,468.722249375,1106.32054657
"409",-43.875,-176.125,84.7219282142639,170.439478371,199.3515559575,294.288228805,151.635236572,312.31880735,648.271935185,165.376965852,476.34336653,1119.262061
"410",-43.875,-176.375,84.0057793510437,171.8177585905,196.6655241355,293.18696508,150.8181274885,311.230354605,660.888130285,166.7351784515,478.42911923,1131.5205068
"411",-43.875,-176.625,86.2747876821136,174.3906164115,195.5313781885,294.03932462,148.256722443,310.603857795,665.723710745,167.898701097,482.647386755,1137.745198425
"412",-43.875,-176.875,91.1494334736633,177.625886294,196.4435699665,296.918156695,147.6926139185,311.508003325,665.26139829,163.8553939555,488.439138515,1138.91070552
"413",-43.875,-65.125,54.7302359015655,112.8801637105,185.875001215,231.52120722,115.312237062,281.02414027,555.38273446,133.974747386,390.331371685,994.834464805
"414",-43.875,-65.375,54.3222335723877,113.0059781535,185.484699615,231.42223229,115.80500662,280.617015265,555.096863815,133.2610293745,390.903546875,994.322265615
"415",-43.875,-72.875,23.360143453064,99.327737829,143.4665396845,253.708771825,88.6223667125,210.767668788,498.28979546,92.733778582,292.84828898,890.41095386
"416",-43.875,-73.125,23.4477967224884,98.7790582695,143.4845347535,256.154227255,86.42443568,209.658946777,500.756711965,91.812810948,292.656380215,885.07280748
"417",-43.875,-73.375,25.817358844986,98.762489381,143.352084402,256.050713855,86.6537088395,210.098695359,500.863415955,91.9750259495,293.056835695,884.67513493
"418",-43.875,-73.625,26.8652285092926,98.463377951,144.5729642,256.457743295,87.5080692305,210.1746325735,501.45903256,91.227261425,293.716274705,884.50086777
"419",-43.875,-73.875,28.4412084654236,98.2868396575,142.658919765,255.666120425,87.1082365125,207.7854373,498.26368979,89.650249226,287.615520065,877.51833852
"420",-43.875,-74.125,27.6706738488006,98.3262874565,140.8909223515,255.962837985,87.1931411845,204.9293331565,495.04829136,86.7602889055,283.37750515,868.945965145
"421",-43.875,-74.375,26.3785038812256,97.225025974,137.755824655,256.0421591,86.2396238135,201.1549885525,491.059004475,84.21590028,278.37700545,863.344942875
"422",-43.875,168.875,68.8971132668304,157.5026774,206.014884974,274.32941412,131.0013994065,302.6806969775,642.339408105,166.6614377315,442.270120285,1129.97035047
"423",-43.875,172.625,98.4667852474975,133.1089763015,200.5014112875,289.57713267,152.847414261,314.928344085,639.024542345,157.073288203,427.613188935,1089.89965298
"424",-43.875,172.875,91.5947064147949,134.746101678,200.5183369125,290.257602,153.8259376595,315.405059735,642.47482436,158.7269858345,426.757443285,1094.47145202
"425",-43.875,173.125,84.5536172845459,134.19342111,200.729767007,296.38314165,154.3661563105,321.167976455,652.019732465,162.783328114,431.95626514,1109.59343003
"426",-44.125,-175.875,93.951210938797,179.914209137,197.785402101,300.429562175,153.5706107385,317.792780145,638.424933645,165.168682428,474.247678295,1108.352187235
"427",-44.125,-176.125,90.1131627107239,180.6942865625,196.065421736,297.93617226,153.267488339,314.55121434,651.168739075,168.3861107235,479.03332939,1121.14782164
"428",-44.125,-176.375,92.0271423578643,185.297498681,194.978773131,295.6456694,152.0172758005,313.239167325,662.630868885,172.596119077,481.53836289,1133.75965239
"429",-44.125,-176.625,95.6694136319732,187.3367613915,195.3531702855,294.24877475,151.342549689,311.586846205,669.81544206,173.10152327,485.165904495,1139.73353833
"430",-44.125,-65.125,53.8280439585876,112.2413660545,187.29953561,231.332723605,115.52061047,283.206762545,554.16164259,132.985607314,390.01812125,989.91184235
"431",-44.125,-65.375,53.6004094412232,111.9750977345,186.7408927815,233.5860805,115.778558185,284.478965735,555.52893231,133.5772686935,392.603370515,990.11117257
"432",-44.125,-73.125,27.6095326672363,98.573224174,139.8119169395,252.02640532,88.038542083,208.808679869,495.38925821,91.4492131485,291.028952215,880.581159915
"433",-44.125,-73.375,30.1947988049316,98.6198357025,138.6701548635,251.58187357,88.0876159725,208.503588506,494.92188723,91.062523595,290.40301794,878.66769292
"434",-44.125,-73.625,29.572043910141,97.811931944,137.3535223955,251.342681545,88.0303958175,206.5142271645,494.07932262,90.6543790395,288.61053729,873.60276112
"435",-44.125,-73.875,28.9293351158905,96.7272516775,136.57920156,251.98609064,87.8744903695,205.205592606,493.398034265,89.2419375955,285.978279885,870.96017149
"436",-44.125,-74.125,26.9774321942901,96.0856058225,133.1390646855,251.052441224,87.208956992,201.956641911,489.443698145,85.2863013555,278.589131975,863.73351826
"437",-44.125,-74.375,27.6747185665131,96.1952558975,132.118637421,249.056569966,86.436844648,198.7230619035,486.60197707,83.7929333115,274.67192641,857.085158265
"438",-44.125,168.375,71.1366298656464,155.4495731795,208.1888064745,273.90646608,129.721797298,301.004207017,643.04471572,163.917971576,440.76829306,1114.81154852
"439",-44.375,-175.875,104.818995452423,184.3963139905,192.452566989,303.62225125,159.344321396,314.09396056,644.0575635,166.9830951945,478.191951675,1113.76874337
"440",-44.375,-176.125,102.381531648331,187.6116168155,192.2408171825,302.55807925,159.4788332355,312.881753565,655.42146684,174.3198595935,483.341854555,1126.06168363
"441",-44.375,-176.375,103.705751903915,191.846638166,193.8356737945,298.24468477,158.3660045075,311.71202764,665.48672133,176.6508682565,487.13322865,1137.697384495
"442",-44.375,-65.125,53.878023733139,111.363494754,187.0835921545,234.8305661,116.179347143,286.49221174,555.385211835,133.955204142,389.62599329,987.33585908
"443",-44.375,-65.375,54.4151081492615,109.7940877635,186.789056676,236.19931422,118.8022269705,286.5771962,555.2669816,135.074262777,387.813282825,986.114837495
"444",-44.375,-72.625,28.557676754837,99.6738423675,136.802795577,251.05215867,89.359319857,211.8129753975,493.134573435,95.0383572525,291.776132425,880.51212248
"445",-44.375,-72.875,29.4395393686676,100.462139591,136.113131073,248.24331584,89.7469361695,212.0401381565,492.404976875,94.225074678,291.40792791,879.33256173
"446",-44.375,-73.125,30.8230304228974,98.876375218,135.390182492,246.96604663,89.4565579985,207.4068112965,491.75367296,92.8104946345,288.578795015,873.93563608
"447",-44.375,-73.375,36.5319966973114,100.064949862,135.184826777,246.301215945,89.405451667,207.554300543,491.374801155,91.9001976695,286.851570375,872.444227655
"448",-44.375,-73.625,31.8477032840729,99.8421273375,133.3394208885,246.38173934,88.879766046,205.570527965,489.642786905,90.4273257955,283.157230125,868.45925975
"449",-44.375,-73.875,31.0030593966674,98.040455857,130.561514865,245.4306442075,87.1066497875,203.5068649175,486.553637045,86.831515572,278.865023595,860.718246945
"450",-44.375,-74.125,28.2292432845306,96.9180564315,128.4840248895,244.552566515,86.761749215,200.4221101335,483.769528395,84.7439502665,272.626783245,855.641200655
"451",-44.375,-74.375,28.0861109529114,94.997990752,125.883105346,243.2746478825,86.1373578735,200.0680432185,480.763277685,82.855155528,265.420618945,846.58775772
"452",-44.375,-74.625,27.8929787000274,95.177461859,123.486160555,240.556489715,86.4721345635,199.0119456205,476.97755724,84.685218331,265.364080765,840.690308875
"453",-44.375,167.875,76.574418998642,153.3709014605,210.007703761,270.576316,128.501380513,297.961136045,635.326909245,163.5159211185,438.816332155,1097.064304395
"454",-44.375,168.125,73.9556778762055,153.756251405,209.398235552,272.38973083,129.644416898,298.51802452,638.242501345,163.132287184,439.410944595,1101.62908043
"455",-44.375,171.375,98.7013317917633,127.957427707,193.3661835525,281.817905465,141.4135212675,305.178289635,611.59921761,141.3517991005,417.761972355,1041.24496003
"456",-44.625,-65.375,49.8658034910583,110.0856729635,185.7709463985,236.813817625,118.8031786935,289.95252229,555.81354817,136.900871364,386.933956505,984.185856645
"457",-44.625,-65.625,50.7952273589325,110.825808525,184.463024757,237.300176605,118.4446239535,291.633257455,556.04673593,136.4055760555,387.13199469,984.919556455
"458",-44.625,-72.625,29.3899617576599,100.3889806885,133.5602505855,247.57088881,90.494948148,211.4012353755,490.26229703,92.5914484735,288.529947525,874.52811979
"459",-44.625,-72.875,30.557617602539,100.7299638005,134.2154218995,246.449779675,89.853956783,212.049147739,489.526192795,92.108672431,288.46851785,872.629840425
"460",-44.625,-73.125,33.5740640390778,100.399193002,133.4726444405,246.16415798,89.539635512,211.605760391,488.53196946,91.178034145,286.06185245,871.506590075
"461",-44.625,-73.375,41.9197872924042,99.3694439725,131.292928327,246.041962495,88.6973966905,210.190647694,486.358545815,90.3777708455,283.708251635,863.05656682
"462",-44.625,-73.625,35.6394078116608,97.805758434,129.488812579,245.2190871175,87.9662710795,207.7757434865,485.594612645,88.117461078,280.388194725,857.285925875
"463",-44.625,-73.875,31.9607422135926,95.172883555,127.7186354845,242.9161882885,86.5962975215,205.398575882,480.899044075,87.808538525,270.991976655,846.95722507
"464",-44.625,-74.125,30.4738002941132,94.096303206,126.034167189,242.913106113,87.605275564,203.9644460115,478.095047555,86.35026093,265.625526325,842.328896135
"465",-44.625,-74.375,30.0065824456787,94.0504473565,126.229452987,242.237381693,87.8095213385,202.9454640735,476.99530199,86.0745627175,264.038518055,841.20008278
"466",-44.625,-74.625,30.1482835588837,95.1255613675,126.1119366555,232.945122383,88.7945280845,203.357881545,468.59209315,86.8075725155,265.030460605,837.33384719
